,userName,toeflScore,greV,greQ,greA,termAndYear,ugCollege,cgpa,univName
0,ninny.rgs,101.0,430.0,740.0,4.5,Fall - 2011,abhinavhitechcollegeofengineering,0.7227,University of Southern California
1,ninny.rgs,101.0,159.0,159.0,4.5,Fall - 2011,abviiitm,0.7227,New Jersey Institute of Technology
2,aashayshah,88.0,147.0,164.0,2.5,Spring - 2016,aceengineeringcollege,0.62,University of Texas Arlington
3,cjaganmohan,102.0,140.0,148.0,3.0,Fall - 2013,acharyainstituteoftechnology,0.74,University of Texas Arlington
4,pvskmz,115.0,154.0,163.0,3.0,Fall - 2013,acharyanagarjunauniversity,0.71,Arizona State University
5,anu_661,105.0,154.0,163.0,3.0,Fall - 2011,acharyanagarjunauniversity,0.89,SUNY Stony Brook
6,nachiappan123,100.0,157.0,163.0,3.0,Fall - 2015,acharyanagarjunauniversity,0.8004000000000001,Arizona State University
7,username123456,95.0,143.0,162.0,3.0,Spring - 2014,acharyanagarjunauniversity,0.85,University of Texas Arlington
8,username123456,95.0,143.0,162.0,3.0,Spring - 2014,acharyanagarjunauniversity,0.85,University of North Carolina Charlotte
9,sam_the_killer,89.0,370.0,690.0,4.0,Fall - 2007,acharyanagarjunauniversity,0.6940999999999999,University of Texas Arlington
10,sam_the_killer,89.0,154.0,163.0,4.0,Fall - 2007,acharyanagarjunauniversity,0.6940999999999999,University of North Carolina Charlotte
11,dhriti1991,101.0,154.0,155.0,3.5,Fall - 2014,adichunchanagiriinstituteoftechnology,0.8029999999999999,University of Texas Dallas
12,dhriti1991,101.0,157.0,163.0,3.5,Fall - 2014,aeronauticalsocietyofindia,0.8029999999999999,Syracuse University
13,hemalpatel1,85.0,162.0,163.0,2.5,Spring - 2011,aeronauticalsocietyofindia,0.62,New Jersey Institute of Technology
14,kranth1,100.0,157.0,163.0,3.5,Fall - 2013,aeronauticalsocietyofindia,0.752,University of Texas Dallas
15,johncena3,96.0,165.0,160.0,3.0,Spring - 2011,ahsanullahuniversityofscience&technology,0.84,University of North Carolina Charlotte
16,abhi111cute,95.0,520.0,780.0,3.0,Fall - 2011,aiht,0.8759999999999999,University of Minnesota Twin Cities
17,abhi111cute,95.0,154.0,160.0,3.0,Fall - 2011,aissmscollegeofengineeringpune,0.8759999999999999,University of Florida
18,kranth1,100.0,162.0,156.0,3.5,Fall - 2013,aissmscollegeofengineeringpune,0.752,University of Florida
